name	group	N	mean	sd	se
212	core	500	1010.09	89.6308947550407	4.00841547112801
213	core	500	1001.826	92.9327106104347	4.15607716516496
214	core	500	1002.912	93.2571178842245	4.17058509949675
215	core	500	1004.69	91.282719996393	4.08228734166028
216	core	500	1000.554	91.4150124048888	4.08820363802636
217	core	500	999.464	92.8464842807016	4.15222100647029
218	core	500	990.018	89.8481109544556	4.01812967488213
219	core	500	984.998	86.7377938719423	3.87903206632055
220	core	500	984.074	91.3643662421935	4.08593867277464
221	core	500	979.132	75.8576782580472	3.39245850400603
222	core	500	983.34	82.6394758328722	3.69574971174506
223	core	500	973.042	84.066560588729	3.75957088222005
224	core	500	966.834	74.5900381524448	3.33576791506339
225	core	500	960.54	76.8969875442905	3.43893782827977
226	core	500	966.954	84.2808543431878	3.76915439026253
227	core	500	965.586	81.6600964161406	3.65195053271355
228	core	500	957.766	79.02156705685	3.53395191255349
229	core	500	960.874	81.3013773063151	3.63590812642559
230	core	500	954.76	76.677358030053	3.42911569780576
231	core	500	946.994	76.5431883538093	3.42311544747376
232	core	500	950.534	78.1069410005598	3.49304859183634
233	core	500	941.988	74.7042254400459	3.34087452580823
234	core	500	941.158	70.711790747381	3.16232741843769
235	core	500	939.112	76.3271847657736	3.41345547334912
236	core	500	933.13	68.2508421553157	3.05227045161788
237	core	500	932.304	69.7421789669215	3.11896506137985
238	core	500	932.04	73.9200022555934	3.30580299880889
239	core	500	923.92	67.2338484750168	3.00678911158116
240	core	500	922.228	69.1743753452738	3.09357211146235
241	core	500	923.024	70.1336501385998	3.13647218440194
242	core	500	918.83	64.4978841056683	2.88443306530355
243	core	500	916.18	65.3283950391925	2.92157464337189
244	core	500	914.268	62.4768347931579	2.7940489923305
245	core	500	913.422	63.7454538125153	2.85078335962715
246	core	500	907.562	61.4082086710268	2.74625857929816
247	core	500	905.658	55.3221304020773	2.47408088478305
248	core	500	903.754	59.3577979743245	2.65456142530578
249	core	500	899.576	59.2813696330571	2.65114344597615
250	core	500	898.666	58.0004702834918	2.59385988561688
251	core	500	894.21	55.7895945290466	2.49498651608197
252	core	500	892.162	57.2005205842588	2.55808504749558
253	core	500	887.348	54.1380157143849	2.42112566608633
254	core	500	884.266	50.3305232153836	2.25084942505458
255	core	500	884.008	52.3677448186839	2.34195674485879
256	core	500	882.934	54.0859707175245	2.41879814306896
257	core	500	873.822	50.1987464414061	2.24495618856519
258	core	500	872.392	43.9304234011055	1.96462826010439
259	core	500	871.888	45.9973800769989	2.05706537278128
260	core	500	871.11	47.9005932496387	2.14217965337519
261	core	500	862.152	39.4128868175701	1.76259788227184
262	core	500	863.718	42.0816849998292	1.88195016534703
263	core	500	858.226	37.347886865345	1.67024827693766
264	core	500	856.196	37.5324253133181	1.67850108722026
265	core	500	860.722	41.8934223198265	1.87353080234478
266	core	500	852.316	32.9405267201543	1.47314513921827
267	core	500	853.04	36.5551495403292	1.63479598599693
268	core	500	846.088	30.9476294332065	1.38402006310246
269	core	500	845.866	30.5206662137684	1.36492568745135
270	core	500	843.886	30.5159540388598	1.364714952583
271	core	500	840.048	24.1293627826471	1.07909790871505
272	core	500	838.028	25.5138615317345	1.1410145750695
273	core	500	837.838	26.9432669747108	1.20493952982757
274	core	500	834.504	23.3711447047341	1.04518936543539
275	core	500	832.51	21.5120300034594	0.962047228435007
276	core	500	829.718	17.3320303066057	0.775111959073137
277	core	500	826.356	11.08200729884	0.495602432947101
278	core	500	824	0	0
