name	group	N	mean	sd	se
63	pan	500	41960.028	1533.14099738142	68.5641497847338
64	pan	500	42255.108	1490.68641783866	66.665523268458
65	pan	500	42593.912	1508.8309998898	67.4769736462515
66	pan	500	42905.442	1477.29680780563	66.0667217039366
67	pan	500	43301.124	1423.10880890675	63.6433607218848
68	pan	500	43583.944	1489.96748793193	66.6333717456079
69	pan	500	43847.356	1416.84169123443	63.3630866991191
70	pan	500	44119.896	1394.04974033966	62.3437996683083
71	pan	500	44370.294	1447.84765124181	64.7497153848017
72	pan	500	44587.548	1476.28021128119	66.0212581252499
73	pan	500	45028.13	1516.61500164889	67.8250847876573
74	pan	500	45225.924	1492.35537300694	66.7401612126115
75	pan	500	45466.21	1463.70115256771	65.458705517724
76	pan	500	45812.948	1464.41297591357	65.4905392255102
77	pan	500	45987.21	1483.87583202562	66.3609446115671
78	pan	500	46278.306	1555.06599501813	69.5446654871777
79	pan	500	46621.886	1519.99335412929	67.9761693036198
80	pan	500	46851.704	1533.89757543581	68.5979849839316
81	pan	500	47097.854	1493.00055123096	66.7690144599417
82	pan	500	47408.8	1491.54572215624	66.7039525258071
83	pan	500	47674.512	1489.27567829059	66.6024330778973
84	pan	500	47918.484	1466.04486727034	65.5635196256226
85	pan	500	48256.92	1469.36943982832	65.7121990303384
86	pan	500	48393.44	1488.08229484544	66.5490633477657
87	pan	500	48703.142	1460.69464005965	65.3242501908594
88	pan	500	48994.13	1485.0194026856	66.4120866462228
89	pan	500	49130.776	1443.37882438581	64.5498633722082
90	pan	500	49428.87	1504.96653306021	67.3041494356962
91	pan	500	49584.374	1481.20455440428	66.241481444605
92	pan	500	49892.554	1465.88875798458	65.5565382061251
93	pan	500	50290.21	1499.52695610455	67.0608841588622
94	pan	500	50544.406	1453.57991810586	65.0060701522656
95	pan	500	50771.646	1538.17779809784	68.7894023605544
96	pan	500	50992.828	1493.20574510361	66.7781910088978
97	pan	500	51231.74	1424.28382608049	63.6959090873891
98	pan	500	51328.904	1448.37102153282	64.7731212157641
99	pan	500	51585.762	1455.22432946062	65.0796104637099
100	pan	500	51858.688	1501.36618434511	67.1431369463029
101	pan	500	52035.04	1495.79378809815	66.8939318101878
102	pan	500	52370.112	1476.24808221942	66.0198212699264
103	pan	500	52632.662	1483.85319096624	66.3599320726096
104	pan	500	52813.852	1467.95663541636	65.6490164962572
105	pan	500	53123.22	1516.23741128319	67.8081984331504
106	pan	500	53342.686	1468.6732426211	65.6810641447165
107	pan	500	53421.002	1424.16738041949	63.6907014791155
108	pan	500	53704.9	1432.91566835779	64.0819368094512
109	pan	500	53930.55	1420.27722444901	63.5167284152541
110	pan	500	54214.866	1464.91929645775	65.5131825686139
111	pan	500	54422.114	1463.5385773319	65.4514349321492
112	pan	500	54659.748	1397.62521334224	62.5036996820179
113	pan	500	54988.424	1360.77296208172	60.8556169031695
114	pan	500	55099.47	1482.37436723294	66.2937970647218
115	pan	500	55284.39	1443.82564698713	64.5698458864166
116	pan	500	55495.208	1482.41742284929	66.2957225704213
117	pan	500	55788.746	1444.79008935159	64.612977060163
118	pan	500	55869.154	1475.4049918799	65.9821171237196
119	pan	500	56242.334	1408.37754066091	62.9845583780354
120	pan	500	56516.092	1359.61924984353	60.8040213233482
121	pan	500	56540.954	1487.98119206524	66.5445418939807
122	pan	500	56875.91	1426.12434492732	63.7782195924971
123	pan	500	57082.52	1454.49103467154	65.0468165237912
124	pan	500	57287.302	1439.72135009795	64.3862961495357
125	pan	500	57483.638	1452.40718816607	64.9536240749733
126	pan	500	57766.652	1474.05771229431	65.9218649489583
127	pan	500	58026.666	1308.79432594248	58.5310616274682
128	pan	500	58175.824	1506.66124302262	67.379939169258
129	pan	500	58346.714	1434.11457751705	64.1355536570301
130	pan	500	58686.266	1407.82480892661	62.9598394634112
131	pan	500	58703.49	1456.93990599453	65.1563333787186
132	pan	500	58956.028	1440.82151305461	64.435496932684
133	pan	500	59290.478	1446.11482174527	64.6722208938481
134	pan	500	59369.672	1389.70222312332	62.1493727877266
135	pan	500	59556.698	1366.22157411422	61.0992862409235
136	pan	500	59814.124	1481.54828719099	66.2568536421487
137	pan	500	59995.564	1421.46382603338	63.5697948513513
